iter	Passed	Remaining
0	1264	631012
1	2061	513379
2	3049	505260
3	3654	453163
4	4452	440778
5	5351	440644
6	5913	416490
7	6659	409564
8	7344	400689
9	8144	399065
10	8935	397220
11	9502	386448
12	9988	374185
13	10483	363926
14	10528	340413
15	10997	332667
16	11139	316484
17	11632	311490
18	12106	306488
19	12574	301787
20	13041	297473
21	13197	286742
22	13273	275272
23	13398	265745
24	13893	263968
25	13960	254504
26	14440	252968
27	14922	251553
28	15023	244007
29	15111	236748
30	15565	235496
31	16059	234871
32	16551	234233
33	16629	227915
34	17092	227088
35	17490	225427
36	17966	224820
37	18399	223704
38	18828	222568
39	18914	217517
40	19360	216742
41	19799	215912
42	19894	211437
43	20415	211581
44	20482	207096
45	20768	204973
46	21257	204888
47	21804	205326
48	22212	204445
49	22297	200677
50	22814	200854
51	23367	201320
52	23616	199177
53	23705	195788
54	23764	192273
55	23894	189449
56	24871	193299
57	24933	190014
58	25595	191311
59	25964	190406
60	26079	187684
61	26581	187783
62	26667	184981
63	27077	184463
64	27665	185143
65	27769	182607
66	28345	183188
67	28457	180789
68	28704	179300
69	28767	176712
70	29236	176654
71	29780	177030
72	29899	174893
73	30021	172828
74	30554	173144
75	30626	170865
76	30874	169609
77	30951	167456
78	31418	167432
79	31901	167481
80	32382	167509
81	32887	167646
82	33105	166323
83	33636	166581
84	33699	164535
85	34131	164305
86	34239	162539
87	34665	162297
88	35146	162304
89	35700	162636
90	36244	162903
91	36483	161797
92	37028	162051
93	37483	161896
94	37990	161959
95	38443	161783
96	39014	162092
97	39480	161950
98	39983	161952
99	40496	161985
100	41097	162355
101	41817	163169
102	42262	162894
103	42775	162875
104	43234	162642
105	43695	162414
106	44173	162244
107	44639	162026
108	45146	161946
109	45601	161678
110	45863	160728
111	46415	160796
112	46958	160824
113	47635	161293
114	48246	161522
115	48740	161348
116	49178	160985
117	49596	160559
118	50019	160145
119	50483	159865
120	50920	159494
121	51487	159528
122	51925	159153
123	52413	158930
124	52920	158762
125	53441	158626
126	53839	158127
127	54292	157788
128	54796	157594
129	55248	157245
130	55734	156991
131	56381	157186
132	56929	157091
133	57573	157253
134	58053	156958
135	58614	156879
136	59194	156845
137	59835	156958
138	60432	156949
139	60906	156617
140	61387	156297
141	61920	156109
142	62375	155721
143	62777	155199
144	63254	154864
145	63778	154641
146	64238	154260
147	64733	153960
148	65167	153516
149	65617	153107
150	66106	152788
151	66672	152644
152	67246	152513
153	68175	153173
154	68588	152664
155	69037	152237
156	69477	151787
157	70005	151531
158	70182	150516
159	70743	150330
160	71226	149973
161	71741	149683
162	72144	149157
163	72605	148752
164	73105	148426
165	73634	148156
166	74152	147861
167	74618	147459
168	75127	147142
169	75596	146745
170	76055	146328
171	76524	145929
172	77130	145789
173	77910	145970
174	78427	145651
175	78974	145384
176	79444	144975
177	79927	144588
178	80406	144192
179	80937	143888
180	81463	143574
181	81936	143163
182	82470	142858
183	82893	142361
184	83375	141964
185	83820	141503
186	84313	141123
187	84759	140664
188	85422	140562
189	85924	140193
190	86432	139830
191	86982	139534
192	87500	139185
193	87930	138694
194	88424	138304
195	88939	137947
196	89398	137501
197	89926	137161
198	90417	136761
199	90889	136334
200	91348	135886
201	91832	135475
202	92253	134971
203	92690	134492
204	93145	134038
205	93581	133558
206	94090	133181
207	94647	132870
208	95193	132542
209	95661	132103
210	96251	131831
211	97223	132076
212	97625	131541
213	98314	131392
214	99021	131260
215	99614	130974
216	100179	130648
217	100702	130266
218	101403	130111
219	101978	129790
220	102581	129503
221	103162	129185
222	103877	129031
223	104558	128831
224	105168	128538
225	105714	128167
